settlementDate,settlementPeriod,expected_periods_that_day,year,dataset
2022-04-30,37,48,2022,INDO
2022-09-23,45,48,2022,INDO
2023-07-17,45,48,2023,INDO
2023-12-29,8,48,2023,INDO
