settlementDate,settlementPeriod,year
2022-01-02,44,2022
2022-01-10,16,2022
2022-01-18,1,2022
2022-01-18,43,2022
2022-01-18,45,2022
2022-01-20,15,2022
2022-02-06,10,2022
2022-02-10,42,2022
2022-02-12,29,2022
2022-02-17,25,2022
2022-03-03,6,2022
2022-03-07,13,2022
2022-03-27,46,2022
2022-03-28,48,2022
2022-04-30,37,2022
2022-07-09,47,2022
2022-07-10,1,2022
2022-07-10,48,2022
2022-09-23,45,2022
2023-07-17,45,2023
2023-12-29,8,2023
