carrier,wholesale_mwh,physical_mwh,bm_increase_mwh,bm_decrease_mwh,bess_mw,scenario
load_shedding,0.0,0.0,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
nuclear,4971796.309932882,4971796.309932882,1.8604850993142463e-10,5.275069270282984e-11,70,Research_Jan2020_BEAT4_BESS70
oil,0.0,225.9795134413951,225.9795134413951,0.0,70,Research_Jan2020_BEAT4_BESS70
sewage_gas,5594.79,5594.79,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
shoreline_wave,7432.614196355656,0.0,0.0,7432.614196355656,70,Research_Jan2020_BEAT4_BESS70
small_hydro,56950.73397852503,42826.00621223751,0.0,14124.72776628752,70,Research_Jan2020_BEAT4_BESS70
solar_pv,216498.4235184256,216498.4235184256,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
tidal_stream,1794.8104762765497,388.6393699680639,0.0,1406.1711063084858,70,Research_Jan2020_BEAT4_BESS70
waste_to_energy,752407.2,753853.0039625627,1445.803962562685,0.0,70,Research_Jan2020_BEAT4_BESS70
wind_offshore,3113808.658270047,3093840.315317583,1.2801137927453965e-10,19968.34295246402,70,Research_Jan2020_BEAT4_BESS70
wind_onshore,3942278.9668761874,3642137.8592344937,1.730322551907193e-08,300141.1076417113,70,Research_Jan2020_BEAT4_BESS70
CCGT,8717796.882959072,9030741.338059675,817720.1065685455,504775.65146794054,100,Research_Jan2020_BEAT4_BESS100
EU_import,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,100,Research_Jan2020_BEAT4_BESS100
OCGT,64560.96912845287,61994.48406702741,4.389590912978747e-10,2566.4850614258867,100,Research_Jan2020_BEAT4_BESS100
advanced_biofuel,39852.36,39852.36,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
biogas,15202.619999999999,15202.619999999999,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
biomass,1666076.9207999997,1666076.9207999997,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
coal,0.0,131153.50103802016,131153.50103802016,0.0,100,Research_Jan2020_BEAT4_BESS100
embedded_solar,112733.03297059766,112677.76267256109,0.0,55.27029803657205,100,Research_Jan2020_BEAT4_BESS100
embedded_wind,1961619.8343297502,1959883.7218658866,0.0,1736.112463863591,100,Research_Jan2020_BEAT4_BESS100
landfill_gas,69346.35560451643,69346.35560451643,4.6074255521944e-15,1.990907438909062e-13,100,Research_Jan2020_BEAT4_BESS100
large_hydro,162607.18329441434,137565.73656729967,7203.079172562792,32244.525899677443,100,Research_Jan2020_BEAT4_BESS100
load_shedding,0.0,0.0,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
nuclear,4971796.309932882,4971796.309932882,1.6331114238710143e-10,5.275069270282984e-11,100,Research_Jan2020_BEAT4_BESS100
oil,0.0,225.9795134429316,225.9795134429316,0.0,100,Research_Jan2020_BEAT4_BESS100
sewage_gas,5594.79,5594.79,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
shoreline_wave,7432.614196355656,0.0,0.0,7432.614196355656,100,Research_Jan2020_BEAT4_BESS100
small_hydro,56950.73397852503,42881.54794485376,0.0,14069.186033671274,100,Research_Jan2020_BEAT4_BESS100
solar_pv,216498.4235184256,216498.4235184256,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
tidal_stream,1794.8104762765497,389.34472694638487,0.0,1405.4657493301647,100,Research_Jan2020_BEAT4_BESS100
waste_to_energy,752407.2,753856.381591087,1449.1815910869625,0.0,100,Research_Jan2020_BEAT4_BESS100
wind_offshore,3113808.658270047,3093825.1768397843,0.0,19983.48143026272,100,Research_Jan2020_BEAT4_BESS100
wind_onshore,3942278.9668761874,3642068.6978662442,1.5411163900580505e-08,300210.26900995884,100,Research_Jan2020_BEAT4_BESS100
CCGT,8717807.758082662,9030815.637073144,816761.3741823062,503753.4951918237,120,Research_Jan2020_BEAT4_BESS120
EU_import,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,120,Research_Jan2020_BEAT4_BESS120
OCGT,64560.96912845273,61994.484067027224,4.3313619357832067e-10,2566.485061425938,120,Research_Jan2020_BEAT4_BESS120
advanced_biofuel,39852.36,39852.36,0.0,0.0,120,Research_Jan2020_BEAT4_BESS120
biogas,15202.619999999999,15202.619999999999,0.0,0.0,120,Research_Jan2020_BEAT4_BESS120
biomass,1666076.9207999997,1666076.9207999997,0.0,0.0,120,Research_Jan2020_BEAT4_BESS120
coal,0.0,131108.5679335933,131108.5679335933,0.0,120,Research_Jan2020_BEAT4_BESS120
embedded_solar,112733.03297059766,112677.76267256109,0.0,55.27029803657205,120,Research_Jan2020_BEAT4_BESS120
embedded_wind,1961619.8343297502,1959882.2464138682,0.0,1737.5879158821858,120,Research_Jan2020_BEAT4_BESS120
landfill_gas,69346.3556045164,69346.3556045164,2.284561428922416e-13,1.990907438909062e-13,120,Research_Jan2020_BEAT4_BESS120
large_hydro,162607.18329441434,137179.06702826137,6824.95486091209,32253.07112706506,120,Research_Jan2020_BEAT4_BESS120
load_shedding,0.0,0.0,0.0,0.0,120,Research_Jan2020_BEAT4_BESS120
nuclear,4971796.309932882,4971796.309932882,1.1158363122376613e-10,5.275069270282984e-11,120,Research_Jan2020_BEAT4_BESS120
oil,0.0,225.9795134429753,225.9795134429753,0.0,120,Research_Jan2020_BEAT4_BESS120
sewage_gas,5594.79,5594.79,0.0,0.0,120,Research_Jan2020_BEAT4_BESS120
shoreline_wave,7432.614196355656,0.0,0.0,7432.614196355656,120,Research_Jan2020_BEAT4_BESS120
small_hydro,56950.73397852503,42871.86780267836,0.0,14078.866175846671,120,Research_Jan2020_BEAT4_BESS120
solar_pv,216498.4235184256,216498.4235184256,0.0,0.0,120,Research_Jan2020_BEAT4_BESS120
tidal_stream,1794.8104762765497,388.9668715976716,0.0,1405.843604678878,120,Research_Jan2020_BEAT4_BESS120
waste_to_energy,752407.2,753862.337554286,1455.1375542860274,0.0,120,Research_Jan2020_BEAT4_BESS120
wind_offshore,3113808.658270047,3093847.6749047874,0.0,19960.98336525938,120,Research_Jan2020_BEAT4_BESS120
wind_onshore,3942278.9668761874,3642432.7930742777,1.5548646814522726e-08,299846.1738019255,120,Research_Jan2020_BEAT4_BESS120
