bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
CEAN1Q,2472.730774042273,729.346507299358,52089.69882016267,1743.3842667429149,222464.51533515955,810844.5823054723
SPEN11,1735.4176846375963,0.0,68895.57434255391,1735.4176846375963,428812.11064169125,534514.180162455
INGA1Q,2095.913078095718,363.9216269609701,28675.64673852707,1731.9914511347479,230044.5058418242,801129.5895871583
EKIS2-,1714.6831024916985,0.0,42867.07756229249,1714.6831024916985,264416.9893746509,651686.7638929151
DEVM4-,1701.9774953926312,0.0,42549.43738481583,1701.9774953926312,232854.76883102444,673716.8941819936
BEAT4A,1669.7774759058848,0.0,41744.43689764712,1669.7774759058848,342739.08210220665,848569.6185376373
MACD1Q,1656.1594365422498,0.0,41403.98591355639,1656.1594365422498,370800.9767069513,863389.3395035139
GLNI3-,1625.1074352690812,0.0,40627.68588172701,1625.1074352690812,321293.7097520695,691353.3433120387
BROR1-,1583.64316419742,0.0,39591.079104935525,1583.64316419742,289354.42678426305,904956.4093137522
DUGR1Q,1522.8772091614371,7.5,38934.47222903594,1515.3772091614371,128127.78721658699,846582.820962869
CASS1Q,1638.1339683772437,231.8995612489693,24016.029383167195,1406.2344071282744,245356.32617992992,741741.430968889
MOTA1Q,1382.4597048353407,0.0,34561.492620883524,1382.4597048353407,254195.47783657344,870101.6675059191
THUS1J,1370.1188860437621,0.0,-308585.02610920614,1370.1188860437621,311766.24883559707,968457.2247044917
ARDK3K,1338.0314880549895,0.0,5243.200755590225,1338.0314880549895,217163.96029031262,714451.5386367938
BHLA11,1825.866303701533,504.5471815345719,36446.663097900964,1321.3191221669613,244193.993161283,817221.002235653
REDH1-,1175.3825912993575,0.0,29384.564782483903,1175.3825912993575,328768.96588957205,695330.5411250712
DUBE1Q,1137.6247764129555,0.0,28440.61941032383,1137.6247764129555,316183.6259078034,930251.5454363524
MORO21,1089.985973557905,0.0,27249.649338947635,1089.985973557905,383014.4042991919,844556.7640728367
